,Year,DOY,Satellite,Phenocam,CenterOrNorth,CoastalAerosol_mean,CoastalAerosol_std,Blue_mean,Blue_std,Green_mean,Green_std,Red_mean,Red_std,RedEdge1_mean,RedEdge1_std,RedEdge2_mean,RedEdge2_std,RedEdge3_mean,RedEdge3_std,NIRBroad_mean,NIRBroad_std,NIRNarrow_mean,NIRNarrow_std,SWIR1_mean,SWIR1_std,SWIR2_mean,SWIR2_std,WaterVapor_mean,WaterVapor_std,Cirrus_mean,Cirrus_std,Quality
325,2022,13,S30,jernovel2,center,612.1111111111111,5.486234175834893,752.1111111111111,11.560896201750724,1160.5555555555557,24.49086501403743,1917.6666666666667,42.598904524255865,2150.222222222222,32.01311459656557,2320.8888888888887,37.28104804334069,2447.777777777778,38.05194630086549,2495.5555555555557,36.560789898806775,2623.1111111111113,27.237410728809678,3607.5555555555557,23.152207051553955,3060.0,26.96911814155838,1397.7777777777778,24.371102094159603,,,64
326,2022,16,S30,jernovel2,center,596.6666666666666,4.666666666666667,760.7777777777778,16.294360154345004,1199.2222222222222,25.650548089347925,1964.4444444444443,44.447499894972495,2216.5555555555557,42.78657918114851,2380.0,35.033317475416645,2512.6666666666665,32.321303604073066,2567.6666666666665,41.75058216493647,2681.4444444444443,33.859550141761616,3628.1111111111113,20.21794826629956,3050.0,22.85704365057836,1708.2222222222222,27.34868584199158,,,64
327,2022,21,S30,jernovel2,center,616.7777777777778,7.450246495217871,775.5555555555555,10.863916943626947,1206.5555555555557,21.458544587237718,1975.7777777777778,41.04950338792251,2190.777777777778,31.293512915894947,2374.5555555555557,33.770832619325056,2498.222222222222,27.64367630229693,2554.8888888888887,40.932042445563745,2696.3333333333335,31.28009661820827,3750.1111111111113,25.194551635200128,3094.4444444444443,28.79857678239253,1199.5555555555557,26.34856568354807,,,64
328,2022,23,S30,jernovel2,center,2131.6666666666665,367.5960947682781,2004.5555555555557,344.56707494449097,1981.888888888889,283.43976214609006,2202.6666666666665,313.9037361286985,2293.8888888888887,343.41728567264266,2369.8888888888887,377.65664724704175,2461.0,370.9414449149024,2590.777777777778,237.59946585133457,2571.1111111111113,344.09573746736515,2003.6666666666667,172.79660490491898,1616.7777777777778,174.46284404026343,854.6666666666666,211.13187032437017,,,194
329,2022,26,S30,jernovel2,center,638.6666666666666,2.6246692913372702,797.5555555555555,16.0976955639351,1252.3333333333333,22.64705033528404,2042.3333333333333,40.576402556713234,2295.3333333333335,36.23380864453651,2467.6666666666665,32.22835190739152,2599.8888888888887,41.010688158209156,2651.222222222222,40.682449881921585,2766.222222222222,28.05858069499033,3730.1111111111113,24.40147738899086,3141.222222222222,25.284065152132555,1462.4444444444443,26.47057532477697,,,64
330,2022,28,S30,jernovel2,center,642.1111111111111,9.14627361211408,814.7777777777778,13.447658018139794,1266.111111111111,24.085239575974715,2033.7777777777778,39.580516468972675,2270.0,27.48332827976505,2426.777777777778,35.498913215846095,2543.1111111111113,35.65403029873636,2619.5555555555557,40.288159581558645,2710.222222222222,31.7412377332628,3707.4444444444443,28.93713919328167,3140.6666666666665,26.903118365308096,1630.7777777777778,15.872952380825398,,,64
331,2022,31,S30,jernovel2,center,636.8888888888889,1.4487116456005886,788.0,14.772346537440226,1224.888888888889,21.784012712917313,2006.888888888889,39.6609083900128,2240.8888888888887,36.98481503549635,2416.777777777778,35.013577613319534,2535.5555555555557,35.7898530347208,2625.4444444444443,39.08427109354325,2730.0,34.34789335283574,3767.1111111111113,25.980524519743394,3123.6666666666665,27.57615717326191,1537.4444444444443,25.790226878977546,,,64
332,2022,33,S30,jernovel2,center,3687.222222222222,814.1924121180554,4494.888888888889,282.81813726391755,4686.555555555556,308.30436300336976,5096.111111111111,364.6570518063496,5190.777777777777,479.1951070464764,5137.555555555556,596.1687142097186,5081.111111111111,648.9719124968942,5681.222222222223,225.36576580097903,5036.111111111111,651.9165666529293,4596.888888888889,354.1934325397931,3801.5555555555557,482.84414580255856,2946.0,622.6684511037956,,,130
333,2022,36,S30,jernovel2,center,626.3333333333334,5.497474167490214,774.8888888888889,13.02514187975142,1198.0,25.473297566057067,1976.111111111111,39.41924077414323,2244.777777777778,37.290981268272056,2400.8888888888887,38.874282971435115,2529.777777777778,33.27587640644922,2608.6666666666665,41.20409904096652,2704.5555555555557,34.737463321674646,3701.5555555555557,24.9315111237482,3140.8888888888887,20.957334671737478,1923.2222222222222,23.432066242545954,,,64
334,2022,38,S30,jernovel2,center,641.1111111111111,13.453165215702498,799.2222222222222,8.740426861909839,1236.888888888889,23.34021062670098,1996.2222222222222,39.50746139873884,2222.777777777778,35.878739534956964,2381.4444444444443,32.052426190404965,2510.6666666666665,34.82017295253492,2575.0,39.177658032211276,2693.0,35.842246953374264,3707.3333333333335,24.43585707748167,3126.222222222222,24.76008336809595,1396.7777777777778,19.808964176059156,,,64
335,2022,41,S30,jernovel2,center,657.4444444444445,3.80383172636082,805.2222222222222,12.673487442318995,1251.6666666666667,20.90720237408896,2043.4444444444443,32.751967239002475,2279.222222222222,37.34159961394791,2454.8888888888887,27.754657044437085,2566.4444444444443,34.458061824359156,2650.1111111111113,40.404742418143734,2770.8888888888887,28.915372476108598,3827.777777777778,18.80766851743534,3223.777777777778,25.213654932629826,1506.3333333333333,24.04625172916191,,,64
336,2022,43,S30,jernovel2,center,648.8888888888889,10.979217179587224,804.4444444444445,12.139111363331255,1255.7777777777778,21.075408406628156,2028.6666666666667,38.262252939417984,2268.6666666666665,30.539591789456953,2430.0,30.87609647175843,2552.6666666666665,26.658332030842942,2592.1111111111113,43.49826163689877,2728.1111111111113,30.193613910687375,3741.0,26.09810550808451,3192.4444444444443,20.73703670629014,1458.0,18.184242262647807,,,64
337,2022,46,S30,jernovel2,center,660.0,5.5377492419453835,826.8888888888889,13.236686766075938,1285.7777777777778,20.868784651711422,2085.4444444444443,37.40799412814536,2344.6666666666665,30.8688984074406,2499.4444444444443,36.60938286259749,2628.1111111111113,35.378726955441095,2709.6666666666665,42.88744960164143,2801.8888888888887,39.05962520285691,3815.777777777778,23.71018429928736,3260.0,22.390474164995553,1887.4444444444443,19.114340812368027,,,64
