,Year,DOY,Satellite,Phenocam,CenterOrNorth,CoastalAerosol_mean,CoastalAerosol_std,Blue_mean,Blue_std,Green_mean,Green_std,Red_mean,Red_std,RedEdge1_mean,RedEdge1_std,RedEdge2_mean,RedEdge2_std,RedEdge3_mean,RedEdge3_std,NIRBroad_mean,NIRBroad_std,NIRNarrow_mean,NIRNarrow_std,SWIR1_mean,SWIR1_std,SWIR2_mean,SWIR2_std,WaterVapor_mean,WaterVapor_std,Cirrus_mean,Cirrus_std,Quality
678,2024,208,S30,jergrassland2,center,815.1111111111111,33.32481372605919,927.4444444444445,31.08808671826668,1494.4444444444443,46.91626373091889,2299.777777777778,98.41722723834458,2486.222222222222,86.782970395218,2749.5555555555557,96.54487858113922,2977.0,101.31798129322027,2943.3333333333335,109.92320551690217,3192.0,101.828832415535,4294.444444444444,50.737036901855504,3812.777777777778,48.057321740183426,819.7777777777778,51.72099891141954,,,192
679,2024,211,S30,jergrassland2,center,765.1111111111111,18.935237254297693,907.5555555555555,42.039957477278186,1429.0,72.63607918933951,2208.777777777778,124.8125508092282,2342.0,99.9833319442129,2598.4444444444443,113.66530899591045,2806.222222222222,126.27287715963725,2779.4444444444443,148.52542701213085,3018.3333333333335,124.27478514253092,4163.222222222223,65.37035987829105,3624.0,59.48295740985162,524.8888888888889,21.15784301358847,,,64
680,2024,213,S30,jergrassland2,center,430.1111111111111,31.29232935630088,639.0,47.22287581247038,1147.0,37.5410886008029,1694.3333333333333,55.63372278673351,1778.0,57.56928193248742,2010.7777777777778,58.341480912483945,2119.1111111111113,57.71470916777618,2117.4444444444443,57.7948692669189,2247.1111111111113,58.82071525585078,2316.222222222222,36.75376859823819,2084.4444444444443,30.83688668213627,440.8888888888889,17.878879187120603,,,200
681,2024,216,S30,jergrassland2,center,764.8888888888889,187.6358437946844,297.55555555555554,231.26373165770485,906.7777777777778,280.3746611541135,1712.3333333333333,270.697453093137,1942.4444444444443,224.7992245494292,2276.222222222222,213.4003945522635,2531.5555555555557,187.26636472689026,1896.888888888889,338.40687031522157,2758.6666666666665,177.19982442930853,3221.6666666666665,247.1400862309112,2892.3333333333335,150.23980830658698,429.22222222222223,154.3695261937535,,,198
682,2024,218,S30,jergrassland2,center,799.8888888888889,7.519521918083836,952.4444444444445,42.18507137499687,1481.111111111111,82.08456945863746,2268.6666666666665,142.15406352889732,2418.8888888888887,127.81622609950972,2663.8888888888887,136.99508867469538,2904.0,144.52988925785866,2887.4444444444443,161.39331606090695,3107.5555555555557,139.022069479882,4263.0,64.12314541394376,3712.1111111111113,63.089785129245136,527.3333333333334,7.4535599249993,,,64
683,2024,221,S30,jergrassland2,center,792.7777777777778,14.451280433679207,940.0,48.955762343841265,1461.7777777777778,81.4831649657738,2250.6666666666665,143.10835055998655,2428.6666666666665,120.38364599156408,2673.0,129.97606617288346,2838.5555555555557,132.83081228148092,2880.1111111111113,167.25592129989462,3053.3333333333335,125.51759504813127,4223.0,68.62782072729526,3755.4444444444443,67.42751022989407,841.4444444444445,14.2914979473898,,,64
684,2024,223,S30,jergrassland2,center,724.7777777777778,27.470298213718344,868.8888888888889,40.2918366268582,1362.6666666666667,65.85337247754792,2092.4444444444443,117.80408511225662,2262.5555555555557,102.9283581603255,2526.6666666666665,106.05554100459712,2678.6666666666665,109.39632331827042,2684.4444444444443,138.92212935559027,2875.4444444444443,101.56892690966193,4027.6666666666665,42.998707990925595,3558.3333333333335,47.928187020907764,676.3333333333334,28.763402673072832,,,128
685,2024,226,S30,jergrassland2,center,864.1111111111111,58.521495470457396,1035.2222222222222,72.93342135548889,1701.3333333333333,75.34218237112889,2875.3333333333335,72.53811258764442,3101.5555555555557,70.50313012926938,3474.8888888888887,82.25494844208387,3733.777777777778,65.63498013471133,3680.8888888888887,90.01165905276993,3967.8888888888887,83.08689486775536,4486.333333333333,106.64895686315924,3688.3333333333335,86.62691395993639,580.7777777777778,26.22881273111596,,,194
686,2024,228,S30,jergrassland2,center,774.4444444444445,10.122703976826998,930.4444444444445,42.7917726025592,1447.5555555555557,79.90565424453337,2210.222222222222,141.56567206131874,2370.1111111111113,110.06507614885986,2580.777777777778,134.76710592539328,2800.6666666666665,143.18131473376297,2804.8888888888887,164.86657530961511,3006.777777777778,122.38534568936826,4153.222222222223,61.98884806116837,3637.5555555555557,60.441176382240734,649.2222222222222,18.575837219222763,,,64
687,2024,231,S30,jergrassland2,center,837.4444444444445,13.857297404545543,982.0,47.027178902795725,1523.3333333333333,83.02743857036393,2344.4444444444443,151.18870556810128,2497.0,126.88752674886703,2757.3333333333335,146.69242198105079,2963.8888888888887,141.16534390914669,2957.3333333333335,174.3508595396714,3194.3333333333335,143.37131279769093,4440.777777777777,67.48625831773751,3828.8888888888887,65.98896278830682,656.5555555555555,8.261169020196048,,,64
688,2024,233,S30,jergrassland2,center,787.2222222222222,10.747379812749998,937.5555555555555,42.408361626010375,1457.4444444444443,80.26499321499048,2248.5555555555557,146.54700505761974,2425.0,136.60486407477916,2677.6666666666665,146.20913484153823,2841.777777777778,147.56977843099463,2837.0,167.86965843243448,3049.6666666666665,144.55141338330495,4182.333333333333,57.30037812557029,3697.777777777778,62.22857110466538,741.4444444444445,13.73649729824497,,,64
689,2024,236,S30,jergrassland2,center,685.4444444444445,21.33911958566609,886.3333333333334,69.88880056521535,1433.3333333333333,112.9286893968441,2216.1111111111113,174.32118787803702,2350.1111111111113,155.40230546298173,2611.3333333333335,173.86201425268257,2782.222222222222,173.62269294701323,2744.222222222222,242.89173526846977,2979.5555555555557,196.74468006988772,3905.4444444444443,238.25341835538202,3275.1111111111113,220.72478813845407,503.77777777777777,27.177514307798962,,,128
690,2024,238,S30,jergrassland2,center,834.3333333333334,24.890872936792626,997.0,35.72425257751689,1547.4444444444443,75.79960584932867,2342.8888888888887,134.3680223568791,2502.3333333333335,105.85209807399505,2724.6666666666665,123.13678031630788,2949.1111111111113,132.6050480390249,2944.5555555555557,155.5178525737023,3154.8888888888887,125.21398967318527,4210.444444444444,54.03108387485261,3666.6666666666665,54.99090833947008,646.7777777777778,44.7083829518899,,,128
